County,2019 population estimate
Alachua,267306
Baker,28249
Bay,167283
Bradford,28682
Brevard,594469
Broward,1919644
Calhoun,14067
Charlotte,181770
Citrus,147744
Clay,215246
Collier,376706
Columbia,70492
DeSoto,36065
Dixie,16610
Duval,970672
Escambia,321134
Flagler,110635
Franklin,12273
Gadsden,46277
Gilchrist,17766
Glades,13121
Gulf,13082
Hamilton,14600
Hardee,27385
Hendry,40120
Hernando,188358
Highlands,103434
Hillsborough,1444870
Holmes,20049
Indian River,154939
Jackson,46969
Jefferson,14776
Lafayette,8482
Lake,357247
Lee,735148
Leon,296499
Levy,41330
Liberty,8772
Madison,19570
Manatee,387414
Marion,360421
Martin,158598
Miami-Dade,2812130
Monroe,76212
Nassau,85070
Okaloosa,201514
Okeechobee,41808
Orange,1386080
Osceola,370552
Palm Beach,1447857
Pasco,527122
Pinellas,978045
Polk,690606
Putnam,73268
Santa Rosa,179054
Sarasota,426275
Seminole,471735
St. Johns,254412
St. Lucie,309359
Sumter,128633
Suwannee,45423
Taylor,22458
Union,15505
Volusia,538763
Wakulla,32976
Walton,70071
Washington,25387
